observedRate,empirical p-value,theoretical p-value
0.15,0.055311,0.0477903522728148
0.12,0.225258,0.252492537546923
0.1,0.45136,0.5
0.15,0.055262,0.0477903522728148
0.09,0.587599,0.630558659818236
0.06,0.922473,0.908788780274132
0.1,0.451719,0.5
0.08,0.721508,0.747507462453077
0.12,0.225322,0.252492537546923
0.11,0.328998,0.369441340181764
0.15,0.055127,0.0477903522728148
0.12,0.225924,0.252492537546923
0.11,0.328357,0.369441340181764
0.11,0.326734,0.369441340181764
0.16,0.03135,0.0227501319481792
0.12,0.226165,0.252492537546923
0.13,0.14816,0.158655253931457
0.16,0.031779,0.0227501319481792
0.09,0.588427,0.630558659818236
0.07,0.837559,0.841344746068543
0.09,0.587129,0.630558659818236
0.13,0.147642,0.158655253931457
0.1,0.450904,0.5
0.1,0.451649,0.5
0.12,0.225726,0.252492537546923
0.17,0.017268,0.00981532862864531
0.14,0.092147,0.0912112197258679
0.08,0.722018,0.747507462453077
0.11,0.328111,0.369441340181764
0.11,0.328342,0.369441340181764
0.07,0.837901,0.841344746068543
0.12,0.22594,0.252492537546923
0.13,0.147905,0.158655253931457
0.1,0.451769,0.5
0.1,0.45167,0.5
0.12,0.225656,0.252492537546923
0.13,0.148227,0.158655253931457
0.13,0.147595,0.158655253931457
0.14,0.092175,0.0912112197258679
0.1,0.451745,0.5
0.12,0.224926,0.252492537546923
0.13,0.147727,0.158655253931457
0.14,0.091995,0.0912112197258679
0.11,0.327351,0.369441340181764
0.07,0.837643,0.841344746068543
0.11,0.327603,0.369441340181764
0.08,0.721705,0.747507462453077
0.05,0.971857,0.952209647727185
0.09,0.587851,0.630558659818236
0.1,0.450763,0.5
0.06,0.922368,0.908788780274132
0.14,0.092676,0.0912112197258679
0.12,0.226083,0.252492537546923
0.13,0.147819,0.158655253931457
0.12,0.224665,0.252492537546923
0.15,0.055226,0.0477903522728148
0.07,0.837245,0.841344746068543
0.08,0.722646,0.747507462453077
0.14,0.091895,0.0912112197258679
0.15,0.054985,0.0477903522728148
0.06,0.922503,0.908788780274132
0.17,0.017352,0.00981532862864531
0.12,0.225653,0.252492537546923
0.13,0.147719,0.158655253931457
0.13,0.147786,0.158655253931457
0.16,0.03147,0.0227501319481792
0.13,0.147872,0.158655253931457
0.11,0.328523,0.369441340181764
0.12,0.226064,0.252492537546923
0.12,0.225786,0.252492537546923
0.08,0.722448,0.747507462453077
0.11,0.327966,0.369441340181764
0.12,0.225474,0.252492537546923
0.16,0.031634,0.0227501319481792
0.1,0.451154,0.5
0.06,0.922378,0.908788780274132
0.07,0.837915,0.841344746068543
0.15,0.054978,0.0477903522728148
0.1,0.45069,0.5
0.12,0.22552,0.252492537546923
0.09,0.586762,0.630558659818236
0.15,0.054963,0.0477903522728148
0.13,0.147453,0.158655253931457
0.15,0.055165,0.0477903522728148
0.11,0.327841,0.369441340181764
0.1,0.451785,0.5
0.06,0.922484,0.908788780274132
0.14,0.091925,0.0912112197258679
0.07,0.837588,0.841344746068543
0.1,0.451698,0.5
0.09,0.587546,0.630558659818236
0.13,0.147413,0.158655253931457
0.11,0.327205,0.369441340181764
0.12,0.226292,0.252492537546923
0.04,0.99331,0.977249868051821
0.07,0.838384,0.841344746068543
0.1,0.451254,0.5
0.11,0.327478,0.369441340181764
0.13,0.147337,0.158655253931457
0.09,0.588087,0.630558659818236
0.12,0.22528,0.252492537546923
0.14,0.091656,0.0912112197258679
0.09,0.587654,0.630558659818236
0.18,0.00911,0.00383038056758978
0.12,0.225582,0.252492537546923
0.2,0.002297,0.000429060333196785
0.15,0.05464,0.0477903522728148
0.12,0.224641,0.252492537546923
0.06,0.922597,0.908788780274132
0.09,0.587537,0.630558659818236
0.15,0.054781,0.0477903522728148
0.06,0.922686,0.908788780274132
0.16,0.031755,0.0227501319481792
0.12,0.22611,0.252492537546923
0.14,0.092635,0.0912112197258679
0.07,0.838051,0.841344746068543
